furniture,type,rate,delivery,sale,price
138,264,3.0,52.44,0.0,3200.0
12,264,4.3,172.14,0.53,2000.0
139,145,0.0,52.44,0.31,1800.0
140,490,0.0,172.14,0.25,5900.0
141,502,3.0,52.44,0.34,600.0
142,143,0.0,172.14,0.54,2050.0
143,264,3.7,52.44,0.46,2500.0
119,409,0.0,172.14,0.18,4000.0
144,264,4.4,52.44,0.21,355.0
145,233,0.0,172.14,0.63,2550.0
146,264,4.2,52.44,0.0,299.0
38,264,0.0,172.14,0.17,3500.0
147,394,5.0,52.44,0.13,1610.0
148,264,4.4,172.14,0.11,450.0
149,264,0.0,172.14,0.0,399.0
150,264,5.0,172.14,0.3,4000.0
0,264,0.0,172.14,0.54,1200.0
136,28,0.0,172.14,0.0,5000.0
110,34,0.0,52.44,0.0,850.0
151,264,3.5,52.44,0.15,199.0
152,174,0.0,172.14,0.17,1320.0
119,12,0.0,172.14,0.17,3999.0
153,446,3.0,52.44,0.0,1925.0
154,448,3.7,52.44,0.0,1755.0
155,264,0.0,10.83,0.31,2000.0
125,264,5.0,172.14,0.16,4899.0
48,264,4.2,52.44,0.0,600.0
156,264,0.0,52.44,0.0,350.0
157,264,0.0,52.44,0.1,506.0
2,264,0.0,172.14,0.68,2500.0
158,172,0.0,172.14,0.17,1062.0
33,264,0.0,52.44,0.66,999.0
67,264,5.0,172.14,0.44,2500.0
125,264,0.0,172.14,0.36,3566.0
159,134,5.0,52.44,0.64,3300.0
160,30,0.0,52.44,0.52,3000.0
161,28,0.0,172.14,0.0,3500.0
162,264,0.0,52.44,0.0,499.0
2,264,0.0,172.14,0.7,2500.0
94,264,0.0,172.14,0.2,5500.0
163,529,0.0,52.44,0.36,550.0
164,237,5.0,52.44,0.18,4000.0
83,264,0.0,52.44,0.41,1500.0
5,137,0.0,52.44,0.53,1900.0
165,579,0.0,285.17,0.5,1258.0
77,28,0.0,172.14,0.0,6500.0
125,264,0.0,172.14,0.25,4000.0
166,431,2.0,172.14,0.27,3000.0
84,264,0.0,52.44,0.44,888.0
150,264,0.0,172.14,0.3,4000.0
11,264,0.0,52.44,0.68,3000.0
167,264,5.0,52.44,0.27,1750.0
168,142,0.0,172.14,0.55,2100.0
169,34,0.0,52.44,0.0,1250.0
